individuals,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,bolt1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,nut1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,jig1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1,bin1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1236.473,614.424,1.0,1226.112,606.301,1.0,1210.542,619.122,1.0,1220.908,627.367,1.0,1234.064,633.108,0.9169999957084656,1238.039,629.911,1.0,1247.372,597.84,1.0,1277.017,573.649,1.0,1091.568,590.344,1.0,1104.227,578.343,1.0,1091.689,565.13,1.0,1077.376,567.368,1.0,1069.245,573.365,1.0,1079.998,588.762,1.0,779.3272094726562,621.6087036132812,0.9951654672622681,803.6078491210938,536.833984375,0.9996125102043152,635.5205078125,536.045166015625,0.9979299306869507,601.83984375,619.5323486328125,0.9921740293502808,1506.265625,799.8770141601562,0.9998229146003723,1480.8267822265625,700.5590209960938,0.9986007809638977,1324.405517578125,701.3248901367188,0.9970868229866028,1340.554443359375,801.9684448242188,0.9997499585151672
1,1236.55,614.62,1.0,1226.112,606.301,1.0,1210.542,619.122,1.0,1220.91,627.438,1.0,1234.819,633.582,1.0,1238.971,630.635,1.0,1247.679,597.84,1.0,1278.383,573.942,1.0,1091.656,590.344,1.0,1104.242,578.417,1.0,1091.689,568.082,1.0,1079.255,569.23,1.0,1069.515,573.612,1.0,1080.77,588.885,1.0,779.421630859375,621.6812744140625,0.9955149292945862,803.6849365234375,536.8656005859375,0.9996090531349182,635.5296630859375,536.0570678710938,0.9979647397994995,601.9022827148438,619.557861328125,0.9917743802070618,1506.3319091796875,799.9505004882812,0.9998326301574707,1480.8446044921875,700.5779418945312,0.9986263513565063,1324.4117431640625,701.3408203125,0.9975805282592773,1340.578369140625,801.9859008789062,0.9997683167457581
2,1236.626,614.689,1.0,1226.112,606.334,1.0,1210.542,619.179,1.0,1220.91,627.438,1.0,1234.819,633.582,0.9900000095367432,1238.971,631.191,1.0,1247.745,597.85,1.0,1278.42,573.949,1.0,1091.85,590.344,1.0,1104.462,578.417,1.0,1091.71,568.221,1.0,1079.426,569.431,1.0,1069.602,573.612,1.0,1080.795,588.885,1.0,779.47705078125,621.7380981445312,0.9957771301269531,803.7108154296875,536.8692016601562,0.9995899796485901,635.5296630859375,536.076171875,0.997890293598175,601.9083251953125,619.5603637695312,0.9916398525238037,1506.3338623046875,799.95751953125,0.9998422861099243,1480.8446044921875,700.5779418945312,0.9987980127334595,1324.4117431640625,701.3522338867188,0.9975593090057373,1340.578369140625,801.9859008789062,0.999785840511322
3,1236.626,614.836,1.0,1226.032,606.339,1.0,1210.313,619.122,1.0,1221.155,627.558,1.0,1234.64,633.582,0.9919999837875366,1238.971,631.392,1.0,1247.745,597.84,1.0,1278.465,573.949,1.0,1091.85,590.171,1.0,1104.526,578.417,1.0,1091.71,568.246,1.0,1079.551,569.431,1.0,1069.615,573.365,1.0,1080.795,588.885,1.0,779.501953125,621.7511596679688,0.9959373474121094,803.7108154296875,536.8785400390625,0.9995995163917542,635.5296630859375,536.0797729492188,0.997866690158844,601.9173583984375,619.573974609375,0.991583526134491,1506.3917236328125,799.9654541015625,0.9998182654380798,1480.843505859375,700.5806274414062,0.9988107681274414,1324.405517578125,701.355224609375,0.9975433945655823,1340.554443359375,802.022216796875,0.9997952580451965
4,1236.626,614.836,1.0,1226.032,606.339,1.0,1210.313,619.001,1.0,1221.155,627.558,1.0,1234.64,633.582,0.47099998593330383,1239.448,631.998,1.0,1247.745,597.78,1.0,1278.529,573.949,1.0,1091.85,590.156,1.0,1104.526,578.417,1.0,1091.934,568.246,1.0,1079.551,569.377,1.0,1069.602,573.204,1.0,1080.795,588.975,1.0,779.501953125,621.7511596679688,0.9957596659660339,803.6945190429688,536.888671875,0.9995997548103333,635.4942626953125,536.0797729492188,0.9978681802749634,601.9297485351562,619.6238403320312,0.9913157224655151,1506.3917236328125,799.9884033203125,0.999813973903656,1480.843505859375,700.5806274414062,0.998842179775238,1324.405517578125,701.355224609375,0.9976250529289246,1340.5758056640625,802.022216796875,0.9997881054878235
5,1236.423,614.812,1.0,1226.032,606.483,1.0,1210.313,618.985,1.0,1221.243,627.657,1.0,1233.689,633.072,0.9959999918937683,1239.448,631.998,1.0,1247.63,597.764,1.0,1278.529,573.947,1.0,1091.751,590.156,1.0,1104.462,578.417,1.0,1092.01,568.335,1.0,1079.88,569.377,1.0,1069.602,572.84,1.0,1080.78,588.975,1.0,779.4833984375,621.7511596679688,0.9957194924354553,803.6849365234375,536.8937377929688,0.999601423740387,635.4942626953125,536.076171875,0.9977770447731018,601.9703369140625,619.6259765625,0.9910229444503784,1506.39501953125,799.9884033203125,0.9997983574867249,1480.8394775390625,700.5779418945312,0.9988386034965515,1324.4075927734375,701.355224609375,0.9976096153259277,1340.5758056640625,802.022216796875,0.9997888207435608
6,1236.423,614.812,1.0,1226.121,606.601,1.0,1210.43,618.985,1.0,1221.577,628.41,1.0,1233.487,632.467,1.0,1238.961,631.392,1.0,1247.351,597.615,1.0,1278.534,573.97,1.0,1091.705,590.156,1.0,1104.404,578.408,1.0,1092.01,568.426,1.0,1079.88,569.273,1.0,1069.451,572.84,1.0,1080.664,588.791,1.0,779.47705078125,621.7291259765625,0.9954883456230164,803.6785278320312,536.8945922851562,0.9995898604393005,635.4942626953125,536.0259399414062,0.9978024363517761,602.0175170898438,619.6259765625,0.9908519387245178,1506.3917236328125,799.990234375,0.9998223185539246,1480.763671875,700.5651245117188,0.9987913966178894,1324.3951416015625,701.355224609375,0.9976975321769714,1340.5665283203125,802.0293579101562,0.9997941851615906
7,1236.423,614.812,1.0,1226.316,606.663,1.0,1217.406,617.802,1.0,1221.874,628.757,1.0,1233.259,632.95,1.0,1237.812,631.217,1.0,1247.143,597.615,1.0,1278.529,574.117,1.0,1091.68,590.156,1.0,1104.399,578.379,1.0,1091.971,568.426,1.0,1079.88,569.096,1.0,1069.261,572.84,1.0,1080.579,588.975,1.0,779.3993530273438,621.7227172851562,0.9953727126121521,803.6734619140625,536.8945922851562,0.9995982050895691,635.5316162109375,536.0135498046875,0.9978173971176147,602.04443359375,619.6438598632812,0.990086019039154,1506.39501953125,799.990234375,0.9998311996459961,1480.763671875,700.5651245117188,0.9987760186195374,1324.3951416015625,701.3218383789062,0.9974898099899292,1340.5758056640625,802.0680541992188,0.9997876286506653
